car,price,body,mileage,engV,engType,registration,year,model,drive
Subaru,8700.0,hatch,118,1.5,Petrol,yes,2008,Impreza,full
BMW,27900.0,sedan,170,3.0,Petrol,yes,2011,530,rear
Mercedes-Benz,43500.0,other,51,3.0,Diesel,yes,2014,E-Class,rear
Mitsubishi,20300.0,other,30,,Diesel,yes,2014,L 200,full
Mercedes-Benz,86000.0,crossover,3,3.0,Diesel,yes,2016,GLS 350,full
Suzuki,14300.0,crossover,77,2.4,Petrol,yes,2010,Grand Vitara,full
Hyundai,19700.0,crossover,127,2.2,Diesel,yes,2012,Santa FE,full
Toyota,0.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Mercedes-Benz,9999.0,van,127,2.2,Diesel,yes,2005,Vito ïàññ.,rear
BMW,17900.0,sedan,69,2.0,Petrol,yes,2008,320,rear
ZAZ,4600.0,sedan,29,1.3,Petrol,yes,2015,Sens,front
BMW,2500.0,sedan,242,3.0,Diesel,no,2001,530,rear
VAZ,3000.0,hatch,112,1.6,Petrol,yes,2007,2113,front
Land Rover,107000.0,crossover,82,4.4,Diesel,yes,2014,Range Rover,full
Peugeot,11000.0,crossover,110,1.6,Gas,yes,2013,3008,front
Hyundai,15600.0,other,134,2.7,Gas,yes,2008,Santa FE,full
Opel,10500.0,sedan,103,2.2,Gas,yes,2008,Vectra C,front
Daewoo,4850.0,sedan,33,1.5,Petrol,yes,2011,Lanos,front
Mitsubishi,5300.0,hatch,240,1.8,Petrol,yes,2000,Carisma,front
Volkswagen,7300.0,van,214,1.9,Diesel,yes,2001,T4 (Transporter) ïàññ.,front
Chevrolet,6000.0,sedan,132,1.8,Gas,yes,2007,Lacetti,front
Infiniti,14800.0,crossover,150,3.5,Gas,yes,2005,FX 35,full
Mitsubishi,14999.0,crossover,115,3.0,Petrol,yes,2008,Outlander XL,full
BMW,12900.0,sedan,121,2.0,Petrol,yes,2007,318,rear
Chrysler,6900.0,sedan,180,2.0,Gas,yes,2002,PT Cruiser,front
Daewoo,4799.0,hatch,34,0.8,Petrol,yes,2012,Matiz,front
Mercedes-Benz,28500.0,other,65,1.8,Petrol,yes,2011,E-Class,rear
Renault,11900.0,other,162,2.3,Other,yes,2011,Master ãðóç.,front
BMW,27500.0,sedan,100,2.0,Petrol,yes,2012,520,rear
Mitsubishi,16500.0,crossover,150,3.5,Gas,yes,2008,Outlander XL,full
Hyundai,11300.0,crossover,166,2.0,Petrol,yes,2008,Tucson,full
Seat,8500.0,hatch,167,2.0,Diesel,yes,2008,Altea,front
Kia,12000.495,sedan,1,1.4,Petrol,yes,2015,Rio,front
Honda,27802.50525,crossover,1,2.4,Petrol,yes,2016,CR-V,full
Mitsubishi,19400.0,crossover,78,2.4,Petrol,yes,2012,Outlander XL,full
Volkswagen,28000.0,crossover,132,2.0,Diesel,yes,2011,Amarok,full
Kia,16153.8,vagon,1,1.6,Petrol,yes,2016,Ceed,front
Skoda,14356.875,sedan,1,1.6,Petrol,yes,2015,Octavia A7,front
Renault,24193.65,van,1,1.6,Diesel,yes,2015,Trafic ïàññ.,front
Honda,9500.0,sedan,150,1.8,Petrol,yes,2007,Civic,front
Audi,5300.0,other,182,2.5,Diesel,no,2002,A4,full
Kia,8500.0,sedan,120,2.0,Other,yes,2007,Magentis,front
Chevrolet,5200.0,sedan,117,1.5,Petrol,yes,2006,Aveo,front
Audi,39999.0,crossover,45,2.0,Diesel,yes,2014,Q5,full
Jaguar,32000.0,sedan,56,2.0,Petrol,yes,2013,XF,rear
BMW,2899.0,sedan,260,2.0,Diesel,no,2000,320,rear
BMW,15500.0,sedan,216,2.0,Diesel,yes,2008,320,rear
Daewoo,3150.0,sedan,208,1.6,Petrol,yes,1999,Nubira,front
BMW,13700.0,sedan,276,3.0,Diesel,yes,2004,530,rear
BMW,9800.0,sedan,350,3.0,Diesel,yes,2001,530,rear
Volkswagen,8200.0,sedan,258,1.9,Diesel,yes,2004,Passat B5,front
Opel,2500.0,sedan,125,1.8,Petrol,no,2002,Vectra B,front
Nissan,9800.0,hatch,79,1.6,Gas,yes,2009,TIIDA,front
Land Rover,27500.0,crossover,190,3.6,Diesel,yes,2008,Range Rover,full
Land Rover,38000.0,crossover,130,3.6,Diesel,yes,2010,Range Rover,full
Chevrolet,12500.0,sedan,64,1.8,Petrol,yes,2013,Cruze,front
Volkswagen,2999.0,vagon,239,1.9,Diesel,no,2003,Passat B5,front
Skoda,25900.0,sedan,72,1.8,Petrol,yes,2014,Superb,front
Peugeot,7500.0,hatch,530,1.0,Petrol,yes,2012,107,front
Mercedes-Benz,15250.0,sedan,210,2.2,Diesel,yes,2006,E-Class,rear
Volkswagen,20500.0,hatch,800,2.0,Diesel,yes,2013,Golf VII,front
Mercedes-Benz,6700.0,van,1,2.2,Diesel,yes,2004,Vito ïàññ.,rear
Mercedes-Benz,295000.0,sedan,29,6.0,Petrol,yes,2011,S 600,rear
Peugeot,6900.0,van,162,1.6,Diesel,yes,2008,Partner ãðóç.,front
Daewoo,3200.0,sedan,147,1.3,Gas,yes,2001,Lanos,front
Land Rover,25000.0,crossover,175,4.2,Gas,yes,2007,Range Rover,full
Volkswagen,12900.0,van,180,2.0,Diesel,yes,2012,T5 (Transporter) ãðóç,front
Mazda,9400.0,sedan,130,1.6,Petrol,yes,2007,3,front
ZAZ,1650.0,van,100,1.2,Gas,yes,2004,110557,front
Mercedes-Benz,9999.0,sedan,80,2.3,Petrol,yes,2002,C-Class,rear
Skoda,9900.0,hatch,198,1.6,Gas,yes,2007,Octavia A5,front
Chevrolet,5700.0,hatch,140,1.8,Petrol,yes,2006,Lacetti,front
Subaru,44500.0,crossover,0,2.0,Diesel,yes,2016,Outback,full
Mercedes-Benz,33500.0,van,0,,Diesel,yes,2015,Sprinter 316 ïàññ.,rear
Chevrolet,10000.0,sedan,83,1.8,Gas,yes,2011,Cruze,front
Hyundai,53000.0,van,1,2.5,Diesel,yes,2016,H1 ïàññ.,full
Mercedes-Benz,8800.0,sedan,330,5.0,Petrol,yes,2000,S 500,rear
BMW,7000.0,sedan,286,2.8,Petrol,yes,2001,520,rear
BMW,7000.0,other,226,2.5,Petrol,yes,1999,525,rear
Volkswagen,45000.0,sedan,90,3.0,Diesel,yes,2011,Phaeton,full
Peugeot,8450.0,van,95,1.6,Diesel,yes,2012,Partner ãðóç.,front
Toyota,64000.0,crossover,128,4.5,Diesel,yes,2013,Land Cruiser 200,full
Skoda,6650.0,hatch,129,1.4,Petrol,yes,2008,Fabia,front
Audi,43000.0,other,11,1.8,Petrol,yes,2015,A6,front
Hyundai,11500.0,sedan,65,1.6,Petrol,yes,2011,Elantra,front
Daewoo,4650.0,hatch,75,1.5,Petrol,yes,2011,Lanos,front
Mercedes-Benz,4000.0,sedan,460,2.0,Petrol,yes,1991,E-Class,rear
Opel,3000.0,sedan,276,17.0,Diesel,yes,1993,Vectra A,
Honda,5500.0,crossover,240,2.0,Petrol,yes,1999,CR-V,full
VAZ,4999.0,vagon,58,1.6,Petrol,yes,2011,2111,front
Volkswagen,5200.0,van,442,2.4,Diesel,yes,1992,T4 (Transporter) ïàññ.,front
Opel,11700.0,van,137,2.0,Diesel,yes,2012,Vivaro ãðóç.,
Honda,8300.0,sedan,160,2.0,Petrol,yes,2004,Accord,front
Volkswagen,12700.0,van,213,2.0,Diesel,yes,2012,T5 (Transporter) ãðóç,front
SsangYong,12700.0,crossover,110,2.7,Diesel,yes,2008,Rexton II,full
Peugeot,11700.0,vagon,100,1.6,Diesel,yes,2013,308,front
Honda,19600.0,sedan,69,2.4,Petrol,yes,2012,Accord,front
Toyota,24500.0,crossover,260,4.7,Gas,yes,2003,Land Cruiser 100,full
Skoda,22800.0,sedan,72,1.8,Petrol,yes,2013,Superb,front
Daewoo,4100.0,other,9,8.0,Petrol,yes,2008,Matiz,front
Mercedes-Benz,39900.0,crossover,126,5.5,Petrol,yes,2010,GL 500,full
Chevrolet,59999.0,other,1,2.0,Petrol,yes,2016,Camaro,rear
Suzuki,7300.0,hatch,84,1.3,Petrol,yes,2008,Swift,front
Honda,8800.0,sedan,240,2.0,Petrol,yes,2005,Accord,front
Volkswagen,21000.0,hatch,22,1.2,Other,yes,2014,Golf VII,front
Opel,1650.0,vagon,296,2.0,Diesel,no,2001,Astra G,front
Chevrolet,6999.0,sedan,132,2.0,Gas,yes,2007,Epica,front
Toyota,25800.0,sedan,58,2.5,Petrol,yes,2015,Camry,
Suzuki,9200.0,crossover,128,2.0,Petrol,yes,2006,Grand Vitara,full
Peugeot,4150.0,other,130,1.9,Diesel,yes,2006,Partner ïàññ.,front
Mitsubishi,9800.0,crossover,92,2.0,Petrol,yes,2008,Outlander,full
Toyota,23400.0,sedan,69,2.5,Gas,yes,2014,Camry,front
Audi,18500.0,sedan,137,,Petrol,yes,2009,A6,front
Toyota,45500.0,crossover,65,4.0,Gas,yes,2010,FJ Cruiser,full
Kia,26900.0,crossover,76,2.2,Diesel,yes,2013,Sorento,full
Audi,4500.0,vagon,206,2.5,Diesel,no,2003,A6,full
Peugeot,17800.0,sedan,90,2.0,Diesel,yes,2013,508,front
Chevrolet,6300.0,sedan,120,1.6,Petrol,yes,2007,Lacetti,front
Toyota,28500.0,sedan,16,2.5,Petrol,yes,2015,Camry,front
Volkswagen,16800.0,vagon,149,1.4,Gas,yes,2013,Passat B7,front
Volkswagen,23999.0,sedan,0,1.6,Diesel,yes,2016,Jetta,front
Honda,19700.0,sedan,73,2.4,Gas,yes,2012,Accord,front
BMW,2999.0,sedan,210,2.0,Other,no,1999,320,rear
Mercedes-Benz,29500.0,crossover,180,3.2,Diesel,yes,2008,GL 320,full
Lexus,19999.0,sedan,82,4.6,Petrol,yes,2008,LS 460,front
Kia,11500.0,sedan,47,,Petrol,yes,2013,Rio,front
Peugeot,7300.0,hatch,86,1.4,Petrol,yes,2011,207,front
Volkswagen,55555.0,van,63,2.0,Diesel,yes,2013,Multivan,full
Mazda,10200.0,crossover,66,2.3,Petrol,yes,2007,CX-7,full
Volkswagen,55555.0,van,50,2.0,Diesel,yes,2013,Multivan,full
Volkswagen,55555.0,van,53,2.0,Diesel,yes,2013,Multivan,full
Audi,27000.0,other,222,,Diesel,yes,2007,Q7,full
Mercedes-Benz,115000.0,sedan,49,4.7,Petrol,yes,2014,S 500,full
Ford,10300.0,van,160,2.2,Diesel,yes,2013,Transit ãðóç.,front
Toyota,4350.0,sedan,35,2.2,Gas,yes,1999,Camry,front
Skoda,11900.0,other,121,1.6,Petrol,yes,2011,Octavia A5,front
Toyota,26250.0,sedan,17,2.5,Petrol,yes,2015,Camry,front
Honda,13700.0,sedan,14,1.8,Petrol,yes,2012,Civic,front
Kia,10700.0,sedan,160,2.0,Gas,yes,2009,Magentis,
Opel,13500.0,vagon,138,2.0,Diesel,yes,2010,Insignia,front
Lexus,33700.0,crossover,82,3.5,Petrol,yes,2010,RX 350,full
SsangYong,13000.0,crossover,43,2.0,Diesel,yes,2012,Kyron,full
BMW,6900.0,sedan,280,2.0,Gas,yes,2000,320,rear
Toyota,24000.0,sedan,51,2.5,Gas,yes,2014,Camry,front
Citroen,5600.0,van,222,1.4,Gas,yes,2007,Berlingo ïàññ.,front
Lexus,45555.0,crossover,25,3.5,Petrol,yes,2013,RX 350,full
Lexus,8900.0,crossover,190,3.0,Gas,yes,2001,RX 300,full
Audi,52999.0,crossover,112,4.2,Diesel,yes,2008,Q7,full
Land Rover,49000.0,crossover,87,5.0,Petrol,yes,2011,Range Rover,full
Volkswagen,18700.0,vagon,196,2.0,Diesel,yes,2011,Passat B7,front
Volkswagen,17999.0,sedan,80,1.8,Petrol,yes,2012,Passat B7,
Skoda,9600.0,sedan,140,1.8,Petrol,yes,2008,Superb,front
Hyundai,9950.0,other,74,2.0,Petrol,yes,2008,Coupe,front
Toyota,12300.0,sedan,135,2.4,Petrol,yes,2006,Camry,front
Skoda,12500.0,sedan,127,1.8,Petrol,yes,2009,Superb,front
Mercedes-Benz,3799.0,van,350,2.2,Diesel,yes,2000,Vito ãðóç.,front
Toyota,10900.0,sedan,156,,Gas,yes,2005,Camry,front
Toyota,27400.0,crossover,52,3.5,Gas,yes,2012,Venza,full
Lexus,15500.0,sedan,139,3.5,Petrol,yes,2007,ES 350,
BMW,8200.0,sedan,241,2.0,Petrol,yes,1998,320,rear
Audi,49500.0,crossover,44,3.0,Diesel,yes,2013,Q7,
Toyota,25500.0,sedan,58,2.5,Petrol,yes,2015,Camry,front
Chevrolet,11900.0,sedan,40,1.8,Petrol,yes,2011,Cruze,front
Nissan,6900.0,hatch,140,1.6,Petrol,yes,2007,TIIDA,front
Volkswagen,69990.0,van,1,5.0,Diesel,yes,2015,Multivan,full
Volkswagen,69990.0,van,1,2.0,Diesel,yes,2015,Multivan,full
Mazda,2900.0,hatch,245,,Petrol,yes,1996,323,front
Chevrolet,10000.0,sedan,38,1.8,Petrol,yes,2010,Cruze,front
Audi,48000.0,crossover,75,3.0,Diesel,yes,2013,Q7,full
Volkswagen,9000.0,sedan,130,1.6,Petrol,yes,2012,Polo,front
Volkswagen,9999.0,hatch,118,1.2,Diesel,yes,2011,Polo,front
Mitsubishi,6700.0,sedan,155,1.6,Gas,yes,2007,Lancer,front
Hyundai,11100.0,sedan,63,1.4,Petrol,yes,2013,Accent,front
BMW,32500.0,vagon,65,2.0,Petrol,yes,2014,328,rear
Toyota,9999.0,sedan,250,2.4,Petrol,yes,2003,Camry,front
Mercedes-Benz,0.0,crossover,0,4.7,Petrol,yes,2016,GLS 500,full
Mazda,7750.0,sedan,130,1.6,Petrol,yes,2007,3,front
Mitsubishi,6900.0,sedan,118,1.6,Petrol,yes,2007,Lancer,front
Mazda,10500.0,crossover,135,2.3,Petrol,yes,2007,CX-7,full
Toyota,15600.0,sedan,165,3.5,Gas,yes,2008,Camry,front
Skoda,22222.0,sedan,80,2.0,Diesel,yes,2014,Octavia A7,front
Honda,20500.0,crossover,78,2.0,Gas,yes,2012,CR-V,full
BMW,19990.0,other,164,,Gas,yes,2004,645,
Ford,22000.0,crossover,95,1.6,Petrol,yes,2013,Kuga,full
Mazda,11900.0,other,105,2.3,Petrol,yes,2008,CX-7,full
Hyundai,6800.0,sedan,107,1.4,Gas,yes,2007,Accent,front
Toyota,20999.0,sedan,77,2.5,Gas,yes,2012,Camry,front
Kia,23000.0,crossover,70,2.2,Diesel,yes,2013,Sorento,full
Land Rover,0.0,crossover,56,3.0,Diesel,no,2014,Range Rover Sport,full
Toyota,22800.0,other,55,2.5,Petrol,yes,2013,Camry,full
Toyota,14900.0,sedan,149,3.5,Gas,yes,2008,Camry,front
Kia,11900.0,crossover,130,2.5,Diesel,yes,2008,Sorento,full
Audi,48000.0,crossover,126,3.0,Diesel,yes,2013,Q7,full
Mercedes-Benz,199999.0,crossover,0,5.5,Petrol,yes,2016,GLS 63,full
Volkswagen,10500.0,sedan,100,1.8,Petrol,yes,2008,Passat B6,front
Lexus,134999.0,crossover,0,4.5,Diesel,yes,2016,LX 450,full
Seat,11500.0,hatch,55,1.6,Petrol,yes,2010,Ibiza,front
Volkswagen,1650.0,sedan,210,1.8,Petrol,no,1998,Passat B4,front
Geely,7350.0,sedan,37,1.5,Petrol,yes,2014,Emgrand 7 (EC7),front
Toyota,20900.0,crossover,69,2.7,Petrol,yes,2008,Land Cruiser Prado,full
Mercedes-Benz,7999.0,van,255,2.2,Diesel,yes,2004,Vito ïàññ.,front
BMW,47900.0,crossover,178,4.0,Diesel,yes,2012,X5,
Honda,16500.0,crossover,113,2.4,Petrol,yes,2008,CR-V,full
Lexus,17400.0,crossover,172,3.5,Petrol,yes,2007,RX 350,full
Hyundai,22600.0,crossover,89,2.2,Diesel,yes,2012,Santa FE,full
Volkswagen,7500.0,van,317,1.9,Diesel,yes,2008,T5 (Transporter) ãðóç,front
Toyota,20800.0,crossover,70,2.7,Petrol,yes,2008,Land Cruiser Prado,full
Volkswagen,25200.0,crossover,78,2.0,Diesel,yes,2012,Tiguan,full
Honda,14500.0,sedan,78,2.0,Petrol,yes,2010,Accord,front
Ford,14500.0,sedan,195,1.6,Petrol,yes,2011,Mondeo,full
Mercedes-Benz,3150.0,vagon,220,1.7,Other,no,2001,A 170,front
Kia,7700.0,hatch,120,1.4,Gas,yes,2009,Ceed,front
Renault,7100.0,van,208,1.5,Diesel,yes,2008,Kangoo ïàññ.,front
Honda,2600.0,sedan,220,2.0,Petrol,yes,1990,Accord,front
Honda,12500.0,sedan,130,2.0,Petrol,yes,2008,Accord,front
Volkswagen,23999.0,sedan,80,1.8,Petrol,yes,2012,Passat CC,
Toyota,32900.0,crossover,82,2.7,Petrol,yes,2013,Venza,full
Audi,36000.0,vagon,40,3.0,Diesel,yes,2010,Q7,full
Mercedes-Benz,23500.0,van,170,2.2,Diesel,yes,2011,Vito ïàññ.,rear
Ford,16400.0,crossover,87,2.5,Petrol,yes,2010,Kuga,full
Renault,3100.0,van,164,1.4,Petrol,yes,1999,Kangoo ïàññ.,front
Volkswagen,4700.0,hatch,160,2.0,Diesel,no,2006,Golf VI,
Toyota,25000.0,crossover,115,5.7,Petrol,yes,2007,Tundra,full
Seat,3000.0,sedan,335,1.8,Petrol,yes,1993,Cordoba,front
VAZ,1700.0,other,60,1.6,Other,yes,1983,2121,full
Renault,7400.0,vagon,242,1.5,Diesel,yes,2007,Megane,front
Audi,23000.0,crossover,180,3.6,Gas,yes,2007,Q7,full
Volkswagen,8650.0,van,238,2.5,Diesel,yes,2002,T4 (Transporter) ïàññ.,front
Mercedes-Benz,16800.0,van,116,,Other,yes,2013,Vito ãðóç.,
Honda,12200.0,hatch,82,1.8,Petrol,yes,2009,Civic,front
Opel,5490.0,sedan,180,1.4,Petrol,yes,2007,Astra G,front
Volkswagen,9300.0,van,220,2.5,Diesel,yes,2003,T4 (Transporter) ïàññ.,front
Hyundai,6500.0,van,170,1.6,Petrol,yes,2005,Matrix,front
BMW,3500.0,sedan,334,2.0,Diesel,no,1999,320,rear
Land Rover,32500.0,crossover,86,5.0,Petrol,yes,2010,Range Rover Sport,full
Hyundai,13500.0,crossover,168,2.2,Diesel,yes,2007,Santa FE,full
Ford,2300.0,sedan,229,2.0,Diesel,no,2003,Mondeo,
Mitsubishi,6500.0,sedan,152,1.6,Petrol,yes,2007,Lancer,front
Volkswagen,11300.0,van,165,1.9,Diesel,yes,2010,Caddy ïàññ.,front
BMW,17500.0,vagon,125,3.0,Diesel,yes,2006,530,full
Land Rover,0.0,crossover,1,4.4,Diesel,yes,2016,Range Rover,full
Mercedes-Benz,2499.0,sedan,300,3.0,Diesel,no,1999,E-Class,rear
Audi,21000.0,hatch,34,1.4,Petrol,yes,2013,A3,front
Toyota,22999.0,crossover,152,4.0,Gas,yes,2008,Land Cruiser Prado,full
BMW,58000.0,crossover,64,2.0,Diesel,yes,2015,X5,full
BMW,0.0,crossover,0,3.0,Diesel,yes,2016,X5,full
Land Rover,0.0,crossover,0,3.0,Diesel,yes,2016,Range Rover Sport,full
Toyota,2499.0,vagon,254,2.0,Diesel,no,2000,Avensis,front
Mercedes-Benz,109999.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,full
BMW,4000.0,sedan,230,2.0,Diesel,no,2003,320,rear
Mazda,11300.0,other,108,2.3,Petrol,yes,2008,CX-7,full
Audi,15000.0,vagon,154,2.0,Diesel,yes,2008,A6,front
Opel,4500.0,sedan,336,2.0,Gas,yes,1998,Omega,rear
Mercedes-Benz,107999.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,full
Mazda,2200.0,vagon,250,2.0,Diesel,no,2000,626,front
Toyota,9900.0,sedan,130,2.3,Gas,yes,2006,Camry,front
Volkswagen,32000.0,sedan,144,3.6,Petrol,yes,2013,Passat CC,full
Mitsubishi,7650.0,sedan,133,1.5,Gas,yes,2008,Lancer,front
Opel,8100.0,van,290,1.9,Diesel,yes,2005,Vivaro ïàññ.,
Skoda,12500.0,sedan,225,1.8,Gas,yes,2009,Superb,front
Audi,19700.0,crossover,172,3.6,Petrol,yes,2007,Q7,full
Ford,15300.0,vagon,78,,Petrol,yes,2014,Focus,front
Toyota,14000.0,sedan,25,2.5,Petrol,yes,2014,Camry,front
Renault,8300.0,van,217,1.9,Diesel,yes,2004,Trafic ïàññ.,front
Kia,6999.0,hatch,124,1.4,Petrol,yes,2008,Rio,front
Volkswagen,13900.0,other,170,1.9,Diesel,yes,2006,Multivan,front
Volkswagen,6200.0,van,180,2.0,Diesel,yes,2005,Caddy ïàññ.,front
Hyundai,12800.0,crossover,219,2.7,Gas,yes,2007,Santa FE,full
BMW,69999.0,crossover,71,4.4,Petrol,yes,2011,X5 M,full
Honda,12500.0,other,52,2.4,Petrol,yes,2008,Accord,front
Volkswagen,16800.0,other,164,2.0,Diesel,yes,2010,T5 (Transporter) ïàññ.,front
Honda,13500.0,sedan,111,2.4,Gas,yes,2009,Accord,front
Porsche,37500.0,crossover,42,4.8,Petrol,yes,2009,Cayenne,full
Mitsubishi,11500.0,sedan,72,2.4,Petrol,yes,2006,Lancer Evolution,full
Mercedes-Benz,69900.0,sedan,76,6.0,Petrol,yes,2010,S 65 AMG,rear
Mitsubishi,7300.0,sedan,137,1.6,Gas,yes,2006,Lancer,front
Peugeot,11200.0,sedan,59,1.6,Petrol,yes,2013,301,front
Volkswagen,9000.0,sedan,223,2.5,Diesel,yes,2007,T5 (Transporter) ïàññ.,front
Volkswagen,0.0,hatch,100,2.0,Petrol,yes,2013,Golf GTI,front
Daewoo,3900.0,sedan,130,1.5,Gas,yes,2006,Lanos,front
Toyota,13000.0,crossover,149,2.0,Petrol,yes,2006,Rav 4,full
Volkswagen,1850.0,other,200,1.6,Petrol,no,1999,Golf IV,front
Kia,10900.0,crossover,148,3.3,Gas,yes,2007,Sorento,full
Mazda,11700.0,vagon,127,2.3,Petrol,yes,2006,CX-7,front
Volkswagen,9200.0,vagon,107,1.6,Petrol,yes,2010,Golf Variant,front
Tesla,61900.0,sedan,22,,Other,yes,2013,Model S,rear
Toyota,15700.0,sedan,108,,Petrol,yes,2008,Camry,front
Hyundai,9250.0,crossover,192,2.0,Diesel,yes,2008,Tucson,full
Kia,15200.0,vagon,87,1.6,Diesel,yes,2013,Ceed,front
Ford,26900.0,crossover,47,2.0,Diesel,yes,2015,Kuga,full
Subaru,43900.0,vagon,0,2.0,Diesel,yes,2016,Outback,full
Skoda,10900.0,vagon,95,2.0,Petrol,yes,2008,Octavia A5,full
Volkswagen,17777.0,van,250,2.0,Diesel,yes,2010,T5 (Transporter) ïàññ.,full
Volkswagen,3950.0,hatch,288,1.8,Gas,yes,1996,Golf III,front
Hyundai,13838.175,hatch,1,1.6,Diesel,yes,2015,i30,front
Kia,19395.675,crossover,1,1.7,Diesel,yes,2015,Sportage,front
Citroen,23000.0,van,52,1.6,Diesel,yes,2015,Grand C4 Picasso,front
Nissan,16431.675,crossover,1,1.6,Petrol,yes,2015,Juke,front
Toyota,16672.5,hatch,1,1.6,Petrol,yes,2016,Auris,front
Kia,14712.555,sedan,1,1.6,Petrol,yes,2015,Cerato,front
Honda,10800.0,sedan,133,2.0,Petrol,yes,2008,Accord,front
BMW,12900.0,vagon,260,3.0,Diesel,yes,2004,330,rear
Lexus,15300.0,crossover,162,3.3,Petrol,yes,2006,RX 300,full
BMW,77777.0,crossover,1,3.0,Diesel,yes,2014,X6,full
Mercedes-Benz,70000.0,other,21,6.0,Petrol,yes,2008,S 600,rear
Mitsubishi,19400.0,crossover,78,,Petrol,yes,2012,Outlander XL,full
Skoda,10950.0,vagon,137,2.0,Petrol,yes,2008,Octavia Scout,
Hyundai,12700.0,crossover,104,2.0,Gas,yes,2009,Tucson,full
Mercedes-Benz,109000.0,crossover,0,3.5,Diesel,yes,2016,GLS 350,full
BMW,17000.0,vagon,158,2.0,Diesel,yes,2010,320,rear
Mercedes-Benz,99000.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,full
Mitsubishi,15500.0,crossover,102,3.0,Petrol,yes,2009,Outlander XL,full
Honda,0.0,other,116,2.4,Petrol,yes,2008,Accord,front
Volkswagen,28900.0,crossover,1,2.0,Petrol,yes,2016,Tiguan,full
BMW,13700.0,sedan,254,3.0,Diesel,yes,2003,530,front
Mazda,3900.0,sedan,80,2.0,Petrol,yes,1997,Xedos 6,front
Mercedes-Benz,177000.0,crossover,0,5.5,Petrol,yes,2016,GLS 63,full
Mitsubishi,12200.0,crossover,140,2.4,Petrol,yes,2007,Outlander XL,full
Mercedes-Benz,13900.0,other,168,5.0,Petrol,yes,2002,CL 500,rear
Chevrolet,9750.0,hatch,98,1.6,Petrol,yes,2011,Cruze,front
Honda,12000.0,sedan,119,2.0,Petrol,yes,2007,Accord,front
Chevrolet,34000.0,other,51,3.6,Petrol,yes,2012,Camaro,rear
Opel,1820.0,sedan,110,1.6,Gas,yes,1988,Ascona,front
BMW,15300.0,sedan,250,2.5,Petrol,yes,2006,525,rear
Hyundai,6999.0,sedan,95,1.4,Gas,yes,2009,Accent,front
Volkswagen,11500.0,van,163,2.5,Diesel,yes,2008,T5 (Transporter) ïàññ.,front
VAZ,2100.0,sedan,85,,Other,yes,2016,2103,
Kia,22000.0,crossover,29,2.0,Gas,yes,2013,Sportage,full
Audi,0.0,sedan,300,2.5,Diesel,no,2001,A8,front
Honda,7499.0,other,287,3.0,Petrol,yes,2002,Accord,front
Toyota,15000.0,crossover,184,2.7,Gas,yes,2005,Land Cruiser Prado,full
Mitsubishi,0.0,crossover,120,2.0,Gas,yes,2008,Outlander,full
Mitsubishi,13200.0,crossover,79,2.4,Gas,yes,2009,Outlander,full
Seat,1850.0,hatch,250,1.1,Petrol,yes,1994,Ibiza,front
Volkswagen,8757.0,sedan,32,,Other,no,2015,Jetta,
Mercedes-Benz,6500.0,van,450,2.3,Diesel,yes,1996,Vito ïàññ.,front
Mercedes-Benz,295000.0,sedan,29,6.0,Petrol,yes,2011,S-Guard,rear
Mercedes-Benz,4300.0,van,300,2.2,Diesel,no,2005,Vito ïàññ.,rear
Honda,25900.0,other,54,3.5,Petrol,yes,2012,Crosstour,full
Mercedes-Benz,12600.0,sedan,300,2.7,Diesel,yes,2003,E-Class,rear
BMW,29500.0,sedan,230,3.0,Diesel,yes,2011,530,rear
VAZ,5700.0,hatch,120,1.6,Petrol,yes,2012,2172,front
Volkswagen,55500.0,crossover,36,3.0,Diesel,yes,2015,Touareg,full
Skoda,7900.0,vagon,180,1.8,Petrol,yes,2006,Octavia Tour,full
Volkswagen,15000.0,van,275,2.5,Diesel,yes,2008,T5 (Transporter) ïàññ.,front
Mercedes-Benz,12500.0,van,238,2.2,Diesel,yes,2008,Vito ïàññ.,rear
Volkswagen,9500.0,van,212,1.9,Diesel,yes,2006,T5 (Transporter) ïàññ.,front
Chevrolet,5800.0,sedan,120,1.5,Petrol,yes,2007,Aveo,front
Volkswagen,10500.0,van,246,2.5,Diesel,yes,2006,T5 (Transporter) ïàññ.,
Volkswagen,18200.0,hatch,23,1.4,Petrol,yes,2013,Golf VI,front
Cadillac,47000.0,crossover,23,6.2,Petrol,yes,2008,Escalade,full
Mercedes-Benz,38700.0,sedan,117,5.5,Petrol,yes,2010,S 550,full
Volkswagen,13700.0,other,103,2.0,Diesel,yes,2013,T5 (Transporter) ãðóç,front
Chevrolet,9200.0,sedan,62,1.8,Petrol,yes,2013,Cruze,front
Audi,22500.0,vagon,175,2.0,Gas,yes,2010,A4 Allroad,full
Mitsubishi,6800.0,sedan,170,1.6,Petrol,yes,2004,Lancer,front
Renault,6250.0,van,205,1.6,Petrol,yes,2007,Scenic,front
Land Rover,162000.0,crossover,21,4.4,Diesel,yes,2015,Range Rover,full
Mercedes-Benz,24800.0,vagon,118,3.0,Diesel,yes,2010,E-Class,full
